objectName_markerName,X,Y,Z,localX,localY,localZ
dummy1_100,-7.32103399149,-0.440895942282,1.09355155446,0.9,0.1,0.0
dummy1_101,-7.33672521387,-0.740484802709,1.0930036049,0.9,0.2,0.0
dummy1_102,-7.35241643625,-1.04007366314,1.09245565534,0.9,0.3,0.0
dummy1_103,-7.36810765863,-1.33966252356,1.09190770578,0.9,0.4,0.0
dummy1_104,-7.383798881,-1.63925138399,1.09135975622,0.9,0.5,0.0
dummy1_105,-7.39949010338,-1.93884024441,1.09081180666,0.9,0.6,0.0
dummy1_106,-7.41518132576,-2.23842910484,1.0902638571,0.9,0.7,0.0
dummy1_107,-7.43087254814,-2.53801796527,1.08971590754,0.9,0.8,0.0
dummy1_108,-7.44656377051,-2.83760682569,1.08916795798,0.9,0.9,0.0
dummy1_109,-7.46225499289,-3.13719568612,1.08862000842,0.9,1.0,0.0
dummy1_110,-7.00593641013,-0.157007868729,1.10455500447,1.0,0.0,0.0
dummy1_111,-7.02162763251,-0.456596729155,1.10400705491,1.0,0.1,0.0
dummy1_112,-7.03731885488,-0.756185589582,1.10345910535,1.0,0.2,0.0
dummy1_113,-7.05301007726,-1.05577445001,1.10291115579,1.0,0.3,0.0
dummy1_114,-7.06870129964,-1.35536331043,1.10236320623,1.0,0.4,0.0
dummy1_115,-7.08439252202,-1.65495217086,1.10181525667,1.0,0.5,0.0
dummy1_116,-7.10008374439,-1.95454103129,1.10126730711,1.0,0.6,0.0
dummy1_117,-7.11577496677,-2.25412989171,1.10071935755,1.0,0.7,0.0
dummy1_118,-7.13146618915,-2.55371875214,1.10017140799,1.0,0.8,0.0
dummy1_119,-7.14715741153,-2.85330761257,1.09962345843,1.0,0.9,0.0
dummy1_120,-7.16284863391,-3.15289647299,1.09907550887,1.0,1.0,0.0
trichecker3_000,10.0,10.0,1.0,0.0,0.0,0.0
trichecker3_001,10.0,10.4,1.0,0.0,0.1,0.0
trichecker3_002,10.0,10.8,1.0,0.0,0.2,0.0
trichecker3_003,10.0,11.2,1.0,0.0,0.3,0.0
trichecker3_004,10.0,11.6,1.0,0.0,0.4,0.0
trichecker3_005,10.0,12.0,1.0,0.0,0.5,0.0
trichecker3_006,10.0,12.4,1.0,0.0,0.6,0.0
trichecker3_007,10.0,12.8,1.0,0.0,0.7,0.0
trichecker3_008,10.0,13.2,1.0,0.0,0.8,0.0
trichecker3_009,10.0,13.6,1.0,0.0,0.9,0.0
trichecker3_010,10.0,14.0,1.0,0.0,1.0,0.0
trichecker3_011,10.4,10.0,1.0,0.1,0.0,0.0
trichecker3_012,10.4,10.4,1.0,0.1,0.1,0.0
trichecker3_013,10.4,10.8,1.0,0.1,0.2,0.0
trichecker3_014,10.4,11.2,1.0,0.1,0.3,0.0
trichecker3_015,10.4,11.6,1.0,0.1,0.4,0.0
trichecker3_016,10.4,12.0,1.0,0.1,0.5,0.0
trichecker3_017,10.4,12.4,1.0,0.1,0.6,0.0
trichecker3_018,10.4,12.8,1.0,0.1,0.7,0.0
trichecker3_019,10.4,13.2,1.0,0.1,0.8,0.0
trichecker3_020,10.4,13.6,1.0,0.1,0.9,0.0
trichecker3_021,10.4,14.0,1.0,0.1,1.0,0.0
trichecker3_022,10.8,10.0,1.0,0.2,0.0,0.0
trichecker3_023,10.8,10.4,1.0,0.2,0.1,0.0
trichecker3_024,10.8,10.8,1.0,0.2,0.2,0.0
trichecker3_025,10.8,11.2,1.0,0.2,0.3,0.0
trichecker3_026,10.8,11.6,1.0,0.2,0.4,0.0
trichecker3_027,10.8,12.0,1.0,0.2,0.5,0.0
trichecker3_028,10.8,12.4,1.0,0.2,0.6,0.0
trichecker3_029,10.8,12.8,1.0,0.2,0.7,0.0
trichecker3_030,10.8,13.2,1.0,0.2,0.8,0.0
trichecker3_031,10.8,13.6,1.0,0.2,0.9,0.0
trichecker3_032,10.8,14.0,1.0,0.2,1.0,0.0
trichecker3_033,11.2,10.0,1.0,0.3,0.0,0.0
trichecker3_034,11.2,10.4,1.0,0.3,0.1,0.0
trichecker3_035,11.2,10.8,1.0,0.3,0.2,0.0
trichecker3_036,11.2,11.2,1.0,0.3,0.3,0.0
trichecker3_037,11.2,11.6,1.0,0.3,0.4,0.0
trichecker3_038,11.2,12.0,1.0,0.3,0.5,0.0
trichecker3_039,11.2,12.4,1.0,0.3,0.6,0.0
trichecker3_040,11.2,12.8,1.0,0.3,0.7,0.0
trichecker3_041,11.2,13.2,1.0,0.3,0.8,0.0
trichecker3_042,11.2,13.6,1.0,0.3,0.9,0.0
trichecker3_043,11.2,14.0,1.0,0.3,1.0,0.0
trichecker3_044,11.6,10.0,1.0,0.4,0.0,0.0
trichecker3_045,11.6,10.4,1.0,0.4,0.1,0.0
trichecker3_046,11.6,10.8,1.0,0.4,0.2,0.0
trichecker3_047,11.6,11.2,1.0,0.4,0.3,0.0
trichecker3_048,11.6,11.6,1.0,0.4,0.4,0.0
trichecker3_049,11.6,12.0,1.0,0.4,0.5,0.0
trichecker3_050,11.6,12.4,1.0,0.4,0.6,0.0
trichecker3_051,11.6,12.8,1.0,0.4,0.7,0.0
trichecker3_052,11.6,13.2,1.0,0.4,0.8,0.0
trichecker3_053,11.6,13.6,1.0,0.4,0.9,0.0
trichecker3_054,11.6,14.0,1.0,0.4,1.0,0.0
trichecker3_055,12.0,10.0,1.0,0.5,0.0,0.0
trichecker3_056,12.0,10.4,1.0,0.5,0.1,0.0
trichecker3_057,12.0,10.8,1.0,0.5,0.2,0.0
trichecker3_058,12.0,11.2,1.0,0.5,0.3,0.0
trichecker3_059,12.0,11.6,1.0,0.5,0.4,0.0
trichecker3_060,12.0,12.0,1.0,0.5,0.5,0.0
trichecker3_061,12.0,12.4,1.0,0.5,0.6,0.0
trichecker3_062,12.0,12.8,1.0,0.5,0.7,0.0
trichecker3_063,12.0,13.2,1.0,0.5,0.8,0.0
trichecker3_064,12.0,13.6,1.0,0.5,0.9,0.0
trichecker3_065,12.0,14.0,1.0,0.5,1.0,0.0
trichecker3_066,12.4,10.0,1.0,0.6,0.0,0.0
trichecker3_067,12.4,10.4,1.0,0.6,0.1,0.0
