objectName_markerName,X,Y,Z,localX,localY,localZ
dummy1_025,-14.4482609492,49.069831845,1.01926715221,0.2,0.3,0.0
dummy1_026,-14.4639521715,48.7702429845,1.01871920265,0.2,0.4,0.0
dummy1_027,-14.4796433939,48.4706541241,1.01817125309,0.2,0.5,0.0
dummy1_028,-14.4953346163,48.1710652637,1.01762330353,0.2,0.6,0.0
dummy1_029,-14.5110258387,47.8714764033,1.01707535398,0.2,0.7,0.0
dummy1_030,-14.526717061,47.5718875428,1.01652740442,0.2,0.8,0.0
dummy1_031,-14.5424082834,47.2722986824,1.01597945486,0.2,0.9,0.0
dummy1_032,-14.5580995058,46.972709822,1.0154315053,0.2,1.0,0.0
dummy1_033,-14.101780923,49.9528976394,1.03136650134,0.3,0.0,0.0
dummy1_034,-14.1174721454,49.653308779,1.03081855178,0.3,0.1,0.0
dummy1_035,-14.1331633678,49.3537199185,1.03027060222,0.3,0.2,0.0
dummy1_036,-14.1488545902,49.0541310581,1.02972265266,0.3,0.3,0.0
dummy1_037,-14.1645458125,48.7545421977,1.0291747031,0.3,0.4,0.0
dummy1_038,-14.1802370349,48.4549533372,1.02862675354,0.3,0.5,0.0
dummy1_039,-14.1959282573,48.1553644768,1.02807880398,0.3,0.6,0.0
dummy1_040,-14.2116194797,47.8557756164,1.02753085442,0.3,0.7,0.0
dummy1_041,-14.2273107021,47.556186756,1.02698290486,0.3,0.8,0.0
dummy1_042,-14.2430019244,47.2565978955,1.0264349553,0.3,0.9,0.0
dummy1_043,-14.2586931468,46.9570090351,1.02588700574,0.3,1.0,0.0
dummy1_044,-13.8023745641,49.9371968525,1.04182200179,0.4,0.0,0.0
dummy1_045,-13.8180657864,49.6376079921,1.04127405223,0.4,0.1,0.0
dummy1_046,-13.8337570088,49.3380191317,1.04072610267,0.4,0.2,0.0
dummy1_047,-13.8494482312,49.0384302712,1.04017815311,0.4,0.3,0.0
dummy1_048,-13.8651394536,48.7388414108,1.03963020355,0.4,0.4,0.0
dummy1_049,-13.8808306759,48.4392525504,1.03908225399,0.4,0.5,0.0
dummy1_050,-13.8965218983,48.13966369,1.03853430443,0.4,0.6,0.0
dummy1_051,-13.9122131207,47.8400748295,1.03798635487,0.4,0.7,0.0
dummy1_052,-13.9279043431,47.5404859691,1.03743840531,0.4,0.8,0.0
dummy1_053,-13.9435955655,47.2408971087,1.03689045575,0.4,0.9,0.0
dummy1_054,-13.9592867878,46.9413082482,1.03634250619,0.4,1.0,0.0
dummy1_055,-13.5029682051,49.9214960656,1.05227750223,0.5,0.0,0.0
dummy1_056,-13.5186594274,49.6219072052,1.05172955267,0.5,0.1,0.0
dummy1_057,-13.5343506498,49.3223183448,1.05118160311,0.5,0.2,0.0
dummy1_058,-13.5500418722,49.0227294844,1.05063365355,0.5,0.3,0.0
dummy1_059,-13.5657330946,48.7231406239,1.05008570399,0.5,0.4,0.0
dummy1_060,-13.581424317,48.4235517635,1.04953775443,0.5,0.5,0.0
dummy1_061,-13.5971155393,48.1239629031,1.04898980487,0.5,0.6,0.0
dummy1_062,-13.6128067617,47.8243740427,1.04844185531,0.5,0.7,0.0
dummy1_063,-13.6284979841,47.5247851822,1.04789390576,0.5,0.8,0.0
dummy1_064,-13.6441892065,47.2251963218,1.0473459562,0.5,0.9,0.0
dummy1_065,-13.6598804288,46.9256074614,1.04679800664,0.5,1.0,0.0
dummy1_066,-13.2035618461,49.9057952788,1.06273300268,0.6,0.0,0.0
dummy1_067,-13.2192530685,49.6062064183,1.06218505312,0.6,0.1,0.0
dummy1_068,-13.2349442908,49.3066175579,1.06163710356,0.6,0.2,0.0
dummy1_069,-13.2506355132,49.0070286975,1.061089154,0.6,0.3,0.0
dummy1_070,-13.2663267356,48.7074398371,1.06054120444,0.6,0.4,0.0
dummy1_071,-13.282017958,48.4078509766,1.05999325488,0.6,0.5,0.0
dummy1_072,-13.2977091803,48.1082621162,1.05944530532,0.6,0.6,0.0
dummy1_073,-13.3134004027,47.8086732558,1.05889735576,0.6,0.7,0.0
dummy1_074,-13.3290916251,47.5090843954,1.0583494062,0.6,0.8,0.0
dummy1_075,-13.3447828475,47.2094955349,1.05780145664,0.6,0.9,0.0
dummy1_076,-13.3604740699,46.9099066745,1.05725350708,0.6,1.0,0.0
dummy1_077,-12.9041554871,49.8900944919,1.07318850313,0.7,0.0,0.0
dummy1_078,-12.9198467095,49.5905056315,1.07264055357,0.7,0.1,0.0
dummy1_079,-12.9355379318,49.290916771,1.07209260401,0.7,0.2,0.0
dummy1_080,-12.9512291542,48.9913279106,1.07154465445,0.7,0.3,0.0
dummy1_081,-12.9669203766,48.6917390502,1.07099670489,0.7,0.4,0.0
dummy1_082,-12.982611599,48.3921501898,1.07044875533,0.7,0.5,0.0
dummy1_083,-12.9983028214,48.0925613293,1.06990080577,0.7,0.6,0.0
dummy1_084,-13.0139940437,47.7929724689,1.06935285621,0.7,0.7,0.0
dummy1_085,-13.0296852661,47.4933836085,1.06880490665,0.7,0.8,0.0
dummy1_086,-13.0453764885,47.1937947481,1.06825695709,0.7,0.9,0.0
dummy1_087,-13.0610677109,46.8942058876,1.06770900753,0.7,1.0,0.0
dummy1_088,-12.6047491281,49.874393705,1.08364400357,0.8,0.0,0.0
dummy1_089,-12.6204403505,49.5748048446,1.08309605401,0.8,0.1,0.0
dummy1_090,-12.6361315729,49.2752159842,1.08254810445,0.8,0.2,0.0
dummy1_091,-12.6518227952,48.9756271237,1.08200015489,0.8,0.3,0.0
dummy1_092,-12.6675140176,48.6760382633,1.08145220533,0.8,0.4,0.0
dummy1_093,-12.68320524,48.3764494029,1.08090425577,0.8,0.5,0.0
dummy1_094,-12.6988964624,48.0768605425,1.08035630621,0.8,0.6,0.0
dummy1_095,-12.7145876847,47.777271682,1.07980835665,0.8,0.7,0.0
dummy1_096,-12.7302789071,47.4776828216,1.07926040709,0.8,0.8,0.0
dummy1_097,-12.7459701295,47.1780939612,1.07871245754,0.8,0.9,0.0
dummy1_098,-12.7616613519,46.8785051008,1.07816450798,0.8,1.0,0.0
dummy1_099,-12.3053427691,49.8586929181,1.09409950402,0.9,0.0,0.0
dummy1_100,-12.3210339915,49.5591040577,1.09355155446,0.9,0.1,0.0
dummy1_101,-12.3367252139,49.2595151973,1.0930036049,0.9,0.2,0.0
dummy1_102,-12.3524164362,48.9599263369,1.09245565534,0.9,0.3,0.0
dummy1_103,-12.3681076586,48.6603374764,1.09190770578,0.9,0.4,0.0
dummy1_104,-12.383798881,48.360748616,1.09135975622,0.9,0.5,0.0
dummy1_105,-12.3994901034,48.0611597556,1.09081180666,0.9,0.6,0.0
dummy1_106,-12.4151813258,47.7615708952,1.0902638571,0.9,0.7,0.0
dummy1_107,-12.4308725481,47.4619820347,1.08971590754,0.9,0.8,0.0
dummy1_108,-12.4465637705,47.1623931743,1.08916795798,0.9,0.9,0.0
dummy1_109,-12.4622549929,46.8628043139,1.08862000842,0.9,1.0,0.0
